FileType,OuDiaSecond.JikokuhyouCsv.2
18-24
上り

列車番号,,1784C,1750,1764,1814A,1764,1898C,1876,1874,1886C,1878,1810A,1882B,1878,1884C,1850,1860,1890C,1850,1864,1908A,1864,1998C,1970,1974,1986C,1978,1918A,1940,1978,1984C,1960,1990C,1964,2016A,1964,2098C,1964,2074,2086C,2012A,2084C,2050,2078,2076C,2060,2106A,2196C,2190B,2198,2186C,2174,2120A,5140B,2174,回2170,2184C,2178,2196CX,2214A,2196CX,2252,2260,2286C,2276,回2208A,2284C,2282,2298,回2218A,2378,2364,回2360,回2322A,2384,2398C,回2316A
終着駅作業,,,,同一列車扱い,,,,,,,同一列車扱い,,,,,同一列車扱い,,,,同一列車扱い,,,,,,,同一列車扱い,,,,,,,同一列車扱い,,同一列車扱い,,,,,,,,,,,,,,,,同一列車扱い,,,入区,入区,,,同一列車扱い,,,,,,,入区,,,,入区,,,入区,入区,入区,入区,入区
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215135,213740,,,,,,,,,,224440,,,,225840,,,232040,234040, 00035, 01025,235810
館浜,番線,,,④,①,,③,,④,③,④,①,②,,③,,④,②,,④,①,,③,,④,③,④,①,,,③,④,②,④,①,,②,,④,③,①,③,,④,②,④,①,③,②,④,③,④,①,,,②,③,④,③,①,,,④,③,④,①,②,,④,①,④,③,②,①,③,④,①
館浜,発,,,175330,180000,,180400,,180730,181800,182330,183000,183130,,183600,,183830,184800,,185330,190000,,190400,,190730,191800,192330,193000,,,193430,193830,194600,195300,200000,,200330,,201330,202130,203000,203130,,203330,204500,204830,210000,210130,210600,211100,211900,212400,213000,,,213500,214000,214530,215530,220000,,,220200,221800,222100,223300,223900,,224230,225600,230000,231300,231800,232900,233730,235130,235530
駒野,着,,,175545, ﾚ,,180615,,180945,182015,182545, ﾚ, ﾚ,,183815,,184045,185015,,185545, ﾚ,,190615,,190945,192015,192545, ﾚ,,,193645,194045,194815,195515, ﾚ,,200545,,201545,202345, ﾚ,203345,,203545,204715,205045, ﾚ,210345, ﾚ,211315,212115,212615, ﾚ,,,213710,214215,214745,215745, ﾚ,,,220415,222015,222315, ﾚ,224115,,224445,225810,230215,231515,232010, ﾚ,233945,235345,235740
駒野,番線,,,②,②,,②,,②,②,②,②,②,,②,,②,②,,②,②,,②,,②,②,②,②,,,②,②,②,②,②,,②,,②,②,②,②,,②,②,②,②,②,②,②,②,②,②,,,⑤,②,②,②,②,,,②,②,②,②,②,,②,⑤,②,②,⑥,⑤,②,②,⑤
駒野,発,,,175625,180130?,,180645,,181025,182045,182625,183130?,183335?,,183845,,184125,185045,,185625,190130?,,190645,,191025,192045,192625,193130?,,,193715,194125,194845,195555,200130?,,200615,,201625,202415,203130?,203415,,203625,204745,205125,210130?,210415,210755?,211355,212145,212655,213130?,,,,214245,214815,215815,220130?,,,220445,222045,222345,223455?,224145,,224515,,230245,231545,,233055?,234015,235415,
河原崎,発,,,175805, ﾚ,, ﾚ,,181205, ﾚ,182805, ﾚ, ﾚ,, ﾚ,,184305, ﾚ,,185805, ﾚ,, ﾚ,,191205, ﾚ,192805, ﾚ,,, ﾚ,194305, ﾚ,195745, ﾚ,, ﾚ,,201805, ﾚ, ﾚ, ﾚ,,203805, ﾚ,205305, ﾚ, ﾚ, ﾚ,211535, ﾚ,212835, ﾚ,,,, ﾚ,215005, ﾚ, ﾚ,,,220635, ﾚ,222535, ﾚ, ﾚ,,224705,,230435,231735,, ﾚ,234155, ﾚ,
海岸公園,発,,,175955, ﾚ,, ﾚ,,181355, ﾚ,182955, ﾚ, ﾚ,, ﾚ,,184455, ﾚ,,185955, ﾚ,, ﾚ,,191355, ﾚ,192955, ﾚ,,, ﾚ,194455, ﾚ,195945, ﾚ,, ﾚ,,201955, ﾚ, ﾚ, ﾚ,,203955, ﾚ,205455, ﾚ, ﾚ, ﾚ,211725, ﾚ,213025, ﾚ,,,, ﾚ,215205, ﾚ, ﾚ,,,220835, ﾚ,222735, ﾚ, ﾚ,,224905,,230635,231935,, ﾚ,234345, ﾚ,
虹ヶ浜,発,,,180210, ﾚ,, ﾚ,,181610, ﾚ,183210, ﾚ, ﾚ,, ﾚ,,184710, ﾚ,,190210, ﾚ,, ﾚ,,191610, ﾚ,193210, ﾚ,,, ﾚ,194710, ﾚ,200210, ﾚ,, ﾚ,,202210, ﾚ, ﾚ, ﾚ,,204210, ﾚ,205710, ﾚ, ﾚ, ﾚ,211940, ﾚ,213240, ﾚ,,,, ﾚ,215430, ﾚ, ﾚ,,,221100, ﾚ,223000, ﾚ, ﾚ,,225130,,230900,232200,, ﾚ,234600, ﾚ,
津崎,着,,,180415, ﾚ,, ﾚ,,181805, ﾚ,183415, ﾚ, ﾚ,, ﾚ,,184905, ﾚ,,190415, ﾚ,, ﾚ,,191805, ﾚ,193415, ﾚ,,, ﾚ,194905, ﾚ,200415, ﾚ,, ﾚ,,202405, ﾚ, ﾚ, ﾚ,,204405, ﾚ,205905, ﾚ, ﾚ, ﾚ,212135, ﾚ,213445, ﾚ,,,, ﾚ,215625, ﾚ, ﾚ,,,221255, ﾚ,223155, ﾚ, ﾚ,,225325,,231055,232355,, ﾚ,234755, ﾚ,
津崎,番線,,,①,②,①,②,,②,②,①,②,②,①,②,,②,②,,①,②,①,②,,②,②,①,②,,①,②,②,②,①,②,①,②,,②,②,②,②,,②,②,②,②,②,②,②,②,①,②,,①,,②,②,②,②,,,②,②,②,②,②,,②,,②,②,,②,②,②,
津崎,発,,,,180515?,180620,181050?,,181835,182450?,,183515?,183715?,183820,184250?,,184935,185450?,,,190515?,190620,191050?,,191835,192450?,,193515?,,193620,194120?,194935,195250?,,200515?,200620,201020?,,202435,202820?,203515?,203820?,,204435,205150?,205935,210515?,210820?,211135?,212205,212550?,,213515?,,213620,,214650?,215655,220220?,220515?,,,221325,222450?,223225,223835?,224550?,,225355,,231125,232425,,233435?,234820,235820?,
浜園,着,,,, ﾚ,180810,181205,,182015,182605,, ﾚ, ﾚ,184010,184405,,185115,185605,,, ﾚ,190810,191205,,192015,192605,, ﾚ,,193810,194235,195115,195405,, ﾚ,200810,201135,,202615,202935, ﾚ,203935,,204615,205305,210115, ﾚ,210935, ﾚ,212345,212705,, ﾚ,,213810,,214805,215835,220335, ﾚ,,,221505,222605,223405, ﾚ,224705,,225535,,231305,232605,, ﾚ,235000,235935,
浜園,番線,,,,①,①,①,,①,①,,①,①,①,①,,①,①,,,①,①,①,,①,①,,①,,①,①,①,①,,①,①,①,,①,①,①,①,,①,①,①,①,①,①,①,①,,①,,①,,①,①,①,①,,,①,①,①,①,①,,①,,①,①,,①,①,①,
浜園,発,,,,180605?,180840,181235,,182045,182635,,183605?,183810?,184040,184435,,185145,185635,,,190605?,190840,191235,,192045,192635,,193605?,,193840,194305,195145,195435,,200605?,200840,201205,,202645,203005,203605?,204005,,204645,205335,210145,210605?,211005,211230?,212415,212735,,213605?,,213840,,214835,215905,220405,220605?,,,221535,222635,223435,223930?,224735,,225605,,231335,232635,,233530?,235030, 00005,
羽衣橋,発,,,, ﾚ,181025, ﾚ,,182230, ﾚ,, ﾚ, ﾚ,184225, ﾚ,,185330, ﾚ,,, ﾚ,191025, ﾚ,,192230, ﾚ,, ﾚ,,194025, ﾚ,195330, ﾚ,, ﾚ,201035, ﾚ,,202830, ﾚ, ﾚ, ﾚ,,204830, ﾚ,210330, ﾚ, ﾚ, ﾚ,212600, ﾚ,, ﾚ,,214025,, ﾚ,220100, ﾚ, ﾚ,,,221730, ﾚ,223630, ﾚ, ﾚ,,225800,,231530,232830,, ﾚ,235215, ﾚ,
新井川,発,,,, ﾚ,181215, ﾚ,,182420, ﾚ,, ﾚ, ﾚ,184415, ﾚ,,185520, ﾚ,,, ﾚ,191215, ﾚ,,192420, ﾚ,, ﾚ,,194215, ﾚ,195520, ﾚ,, ﾚ,201235, ﾚ,,203020, ﾚ, ﾚ, ﾚ,,205020, ﾚ,210520, ﾚ, ﾚ, ﾚ,212750, ﾚ,, ﾚ,,214215,, ﾚ,220300, ﾚ, ﾚ,,,221930, ﾚ,223830, ﾚ, ﾚ,,230000,,231730,233030,, ﾚ,235405, ﾚ,
新野崎,着,,,, ﾚ,181350,181525,,182555,182925,, ﾚ,184050,184550,184725,,185655,185925,,, ﾚ,191350,191525,,192555,192925,, ﾚ,,194350,194555,195655,195755,, ﾚ,201405,201525,,203155,203305, ﾚ,204255,,205155,205625,210655, ﾚ,211255,211450,212925,213025,, ﾚ,,214345,,215125,220435,220655, ﾚ,,,222105,222925,224005, ﾚ,225025,,230135,,231900,233200,, ﾚ,235530, 00255,
新野崎,番線,,,,②,①,②,,①,②,,②,②,①,②,,①,②,,,②,①,②,,①,②,,②,,①,②,①,②,,②,②,①,②,①,②,②,②,,①,②,①,②,②,②,①,②,,②,,②,,②,②,①,②,①,,①,②,①,②,②,④,①,,②,②,,②,②,②,
新野崎,後作業1,,,,,換 ⑤,,,換 ⑤,,,,,換 ⑤,,,換 ⑤,,,,,換 ⑤,,,換 ⑤,,,,,換 ⑤,,換 ⑤,,,,,換 ⑤,,換 ⑤,,,,,換 ⑤,,換 ⑤,,,,換 ⑤,,,,,,,,換 ⑤,,,,,換 ⑤,,換 ⑤,,,,換 ⑤,,,,,,,,
,,,,,,181450,,,182655,,,,,184650,,,185755,,,,,191450,,,192655,,,,,194450,,195755,,,,,201735,,203255,,,,,205255,,211315,,,,213025,,,,,,,,220605,,,,,222315,,224515,,,,230425,,,,,,,,
新野崎,発,,,,180810?,,181555,,,182955,,183810?,184130,,184755,,,185955,,,190810?,,191555,,,192955,,193810?,,,194625,,195825,,200810?,,,201600,,203335,203810?,204325,,,205655,,210810?,211325,211530,,213055,,213810?,,214445,,215155,,,220810?,220935,,,222955,,224130?,225115,225400,,,232110,233230,,233730?,235600, 00325,
江ノ原,発,,,, ﾚ,,181810,,,183210,, ﾚ,184335,,185010,,,190210,,, ﾚ,,191810,,,193210,, ﾚ,,,194840,,200040,, ﾚ,,,201815,,203550,203925?,204540,,,205910,, ﾚ,211530,211735,,213300,, ﾚ,,214650,,215400,,, ﾚ,221140,,,223200,, ﾚ,225320,225615,,,232315,233445,, ﾚ,235805, 00530,
江ノ原信号場,着, ﾚ,,, ﾚ,, ﾚ,,, ﾚ,, ﾚ, ﾚ,, ﾚ,,, ﾚ,,, ﾚ,, ﾚ,,, ﾚ,, ﾚ,,, ﾚ,, ﾚ,, ﾚ,,, ﾚ,, ﾚ, ﾚ, ﾚ,,, ﾚ,, ﾚ, ﾚ, ﾚ,, ﾚ,, ﾚ,, ﾚ,, ﾚ,,, ﾚ, ﾚ,,, ﾚ,,224410, ﾚ, ﾚ,,, ﾚ, ﾚ,,234010, 00005, ﾚ,
江ノ原信号場,番線,上本,⑬,,上本,,上本,⑬,,上本,,上本,上本,,上本,⑬,,上本,,,上本,,上本,⑬,,上本,,上本,⑬,,上本,,上本,,上本,,,上本,,上本,上本,上本,⑬,,上本,,上本,上本,上本,,上本,,上本,⑬,上本,,上本,,,上本,上本,⑬,,上本,,⑪,上本,上本,,,上本,上本,,⑪,⑫,上本,
江ノ原信号場,発,175755?,175950,,180940?,,181855?,182000,,183255?,,183940?,184420?,,185055?,190050,,190255?,,,190940?,,191855?,192000,,193255?,,193940?,194230,,194925?,,200125?,,200940?,,,201900?,,203635?,203940?,204625?,204730,,205955?,,210940?,211615?,211820?,,213345?,,213940?,214200,214735?,,215445?,,,220940?,221225?,221400,,223245?,,,225405?,225700?,,,232400?,233530?,,,, 00615?,
大道寺,着,175915,180130,,181100,,182015,182145,,183415,,184100,184540,,185215,190230,,190415,,,191100,,192015,192145,,193415,,194100,194415,,195045,,200245,,201100,,,202020,,203755,204100,204745,204915,,210115,, ﾚ,211735,211940,,213505,,214100,214345,214855,,215605,,,221100,221345,221545,,223405,,,225525,225820,,,232520,233650,,,, 00735,
大道寺,番線,②,①,,①,,②,①,,②,,①,①,,②,①,,②,①,,①,,②,①,,②,,①,①,,②,,①,,①,,,①,,②,①,②,①,,①,,①,②,①,,②,,①,①,②,,②,,,①,②,①,,②,,,②,①,,,③,②,,,,③,
大道寺,後作業1,換 Y,,,,,換 Y,,,換 Y,,,,,換 Y,,,換 Y,,,,,換 Y,,,換 Y,,,,,換 Y,,,,,,,,,換 Y,,換 Y,,,解 後1,,,換 Y,,,換 Y,,,,換 Y,,換 Y,,,,換 Y,,,換 Y,,,換 Y,,,,,,,,,換 Y,
,,180105,,,,,182145,,,183655,,,,,185515,,,191155,,,,,192145,,,193655,,,,,195245,,,,,,,,,203915,,204905,,,210355,,,211835,,,213645,,,,214955,,215705,,,,221445,,,223505,,,225625,,,,,,,,, 00835,
大道寺,発,,180340,,181200,,,182255,,,,184200,184610,,,,,,190440,,191200,,,192255,,,,194200,194555,,,,200415,,201200,,,202100,,,204200,,205055,,210355,,211020?,,212010,,,,214200,214525,,,,,,221200,,221625,,,,,,225920,,,,233750,,,,,
藤江,着,,180600,, ﾚ,,,182515,,,, ﾚ,184825,,,,,,190700,, ﾚ,,,192520,,,, ﾚ,194815,,,,200630,, ﾚ,,,202310,,, ﾚ,,205315,,210610,, ﾚ,,212230,,,, ﾚ,214745,,,,,, ﾚ,,221850,,,,,,230130,,,,234000,,,,,
藤江,番線,,②,,②,,,②,,,,②,②,,,,,,②,,②,,,①,,,,②,②,,,,②,,②,,,②,,,②,,②,,②,,②,,①,,,,②,②,,,,,,②,,①,,,,,,①,,,,②,,,,,
藤江,発,,180620,,181355?,,,182535,,,,184355?,184845,,,,,,190720,,191355?,,,192540,,,,194355?,194835,,,,200650,,201355?,,,202330,,,204355?,,205335,,210630,,211150?,,212250,,,,214355?,214835,,,,,,221355?,,221910,,,,,,230220,,,,234025,,,,,
水越,着,,180805,, ﾚ,,,182720,,,, ﾚ,185035,,,,,,190905,, ﾚ,,,192725,,,, ﾚ,195020,,,,200840,, ﾚ,,,202515,,, ﾚ,,205520,,210820,, ﾚ,,212440,,,, ﾚ,215020,,,,,, ﾚ,,222055,,,,,,230405,,,,234210,,,,,
水越,番線,,①,,②,,,①,,,,②,①,,,,,,①,,②,,,①,,,,②,①,,,,①,,②,,,①,,,②,,①,,①,,②,,①,,,,②,①,,,,,,②,,①,,,,,,①,,,,①,,,,,
水越,発,,180825,,181500?,,,182800,,,,184500?,185055,,,,,,190925,,191500?,,,192805,,,,194500?,195100,,,,200900,,201530?,,,202535,,,204500?,,205600,,210850,,211255?,,212500,,,,214500?,215100,,,,,,221510?,,222115,,,,,,230445,,,,234235,,,,,
高見沢,着,,181045,, ﾚ,,,183020,,,, ﾚ,185310,,,,,,191145,, ﾚ,,,193025,,,, ﾚ,195320,,,,201115,, ﾚ,,,202750,,, ﾚ,,205820,,211105,, ﾚ,,212715,,,, ﾚ,215320,,,,,, ﾚ,,222335,,,,,,230705,,,,234450,,,,,
高見沢,番線,,②,,①,,,②,,,,①,②,,,,,,②,,①,,,②,,,,①,②,,,,②,,①,,,②,,,①,,②,,①,,①,,②,,,,①,②,,,,,,①,,②,,,,,,②,,,,②,,,,,
高見沢,発,,181145,,181640?,,,183405,,,,184640?,185330,,,,,,191205,,191710?,,,193410,,,,194640?,195345,,,,201215,,201710?,,,202810,,,204640?,,205905,,211205,,211435?,,212805,,,,214640?,215345,,,,,,221650?,,222355,,,,,,230730,,,,234515,,,,,
日野森,着,,181410,, ﾚ,,,183610,,,, ﾚ,185535,,,,,,191430,, ﾚ,,,193615,,,, ﾚ,195550,,,,201505,, ﾚ,,,203015,,, ﾚ,,210110,,211455,, ﾚ,,213010,,,, ﾚ,215550,,,,,, ﾚ,,222600,,,,,,230935,,,,234805,,,,,
日野森,番線,,①,,②,,,②,,,,②,②,,,,,,①,,②,,,②,,,,②,②,,,,①,,②,,,②,,,②,,②,,①,,②,,②,,,,②,②,,,,,,②,,②,,,,,,②,,,,①,,,,,
日野森,発,,,,181810?,,,183630,,,,184810?,185555,,,,,,,,191840?,,,193635,,,,194810?,195610,,,,,,201840?,,,203035,,,204810?,,210130,,,,211600?,,213030,,,,214810?,215610,,,,,,221820?,,222620,,,,,,231000,,,,,,,,,
奥峯口,発,,,, ﾚ,,,183825,,,, ﾚ,185750,,,,,,,, ﾚ,,,193830,,,, ﾚ,195805,,,,,, ﾚ,,,203230,,, ﾚ,,210335,,,, ﾚ,,213225,,,, ﾚ,215805,,,,,, ﾚ,,222815,,,,,,231155,,,,,,,,,
西赤山,着,,,, ﾚ,,,184000,,,, ﾚ,185925,,,,,,,, ﾚ,,,194005,,,, ﾚ,195940,,,,,, ﾚ,,,203405,,, ﾚ,,210515,,,, ﾚ,,213400,,,, ﾚ,215940,,,,,, ﾚ,,222955,,,,,,231330,,,,,,,,,
西赤山,番線,,,,①,,,①,,,,①,①,,,,,,,,①,,,①,,,,①,①,,,,,,①,,,①,,,①,,①,,,,①,,①,,,,①,①,,,,,,①,,①,,,,,,①,,,,,,,,,
西赤山,発,,,,181940?,,,184020,,,,184940?,185945,,,,,,,,192010?,,,194025,,,,194940?,200000,,,,,,202010?,,,203425,,,204940?,,210535,,,,211730?,,213420,,,,214940?,220000,,,,,,221950?,,223015,,,,,,231350,,,,,,,,,
赤山町,着,,,,182135,,,184250,,,,185200,190215,,,,,,,,192205,,,194255,,,,195200,200230,,,,,,202205,,,203650,,,205200,,210800,,,,211945,,213655,,,,215200,220230,,,,,,222145,,223240,,,,,,231615,,,,,,,,,
赤山町,番線,,,,①,,,①,,,,①,①,,,,,,,,①,,,①,,,,①,①,,,,,,①,,,①,,,①,,①,,,,①,,①,,,,①,①,,,,,,①,,①,,,,,,①,,,,,,,,,
赤山町,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
