FileType,OuDiaSecond.JikokuhyouCsv.2
11-13
下り

列車番号,,回1005A,1075,試9091,試9093,1049,1183C,1049,1019A,1183C,1167,1041,1185C,回1107A,1161,1041,1021A,1161,1151,1199C,1165,1151,1143,1283C,1143,1113A,1283C,試9191,試9193,1275,1145,1285C,回1221A,1267,1145,1103A,1267,1251,1299C,1261,1251,1249,1215A
津崎,発,,110340,105510?,105510?,,,,110935?,111235?,112340,,113045?,,,,114315?,114425,,115105?,120340,,,,,120955?,121235?,121555?,121555?,122340,,123045?,,,,124315?,124425,,125155?,130340,,,130955?
虹ヶ浜,発,,110555, ﾚ, ﾚ,,,, ﾚ, ﾚ,112555,, ﾚ,,,, ﾚ,114650,, ﾚ,120555,,,,, ﾚ, ﾚ, ﾚ, ﾚ,122555,, ﾚ,,,, ﾚ,124650,, ﾚ,130555,,, ﾚ
海岸公園,発,,110810, ﾚ, ﾚ,,,, ﾚ, ﾚ,112810,, ﾚ,,,, ﾚ,114905,, ﾚ,120810,,,,, ﾚ, ﾚ, ﾚ, ﾚ,122810,, ﾚ,,,, ﾚ,124905,, ﾚ,130810,,, ﾚ
河原崎,発,,111005, ﾚ, ﾚ,,,, ﾚ, ﾚ,113005,, ﾚ,,,, ﾚ,115100,, ﾚ,121005,,,,, ﾚ, ﾚ, ﾚ, ﾚ,123005,, ﾚ,,,, ﾚ,125100,, ﾚ,131005,,, ﾚ
駒野,着,,111130,105945,105915?,,,, ﾚ,111640,113130,,113450,,,, ﾚ,115225,,115510,121130,,,,, ﾚ,121640,122400,122400,123130,,123450,,,, ﾚ,125225,,125600,131130,,, ﾚ
駒野,番線,⑤,③,①,③,,,,③,③,③,,③,⑤,,,③,③,,③,③,,,,,③,③,①,①,③,,③,⑤,,,③,③,,③,③,,,③
駒野,発,104330,111200,,105915?,,,,111330?,111710,113200,,113520,114330,,,114700?,115255,,115540,121200,,,,,121340?,121710,,,123200,,123520,124230,,,124700?,125255,,125630,131200,,,131340?
館浜,着,104630,111525,,110210,,,,111640,112000,113525,,113810,114630,,,114930,115555,,115830,121525,,,,,121640,122000,,,123525,,123810,124530,,,124930,125555,,125920,131525,,,131635
館浜,番線,①,④,,①,,,,①,③,④,,③,①,,,②,④,,③,④,,,,,①,③,,,④,,③,①,,,②,④,,③,④,,,①
備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
